time,price,performance
11:52h / 2023-07-06,76.695,
11:54h / 2023-07-06,76.7315,0.04759110763414842
11:56h / 2023-07-06,76.91,0.28022047106377457
11:59h / 2023-07-06,76.875,0.23471273474860999
12:01h / 2023-07-06,76.913,0.28414362905754276
12:01h / 2023-07-06,76.75,0.07221586652065293
12:03h / 2023-07-06,76.701,0.00837221831218038
12:05h / 2023-07-06,76.578,-0.15199074957610303
12:07h / 2023-07-06,76.581,-0.1480731753380704
12:10h / 2023-07-06,76.606,-0.11542800225337047
12:12h / 2023-07-06,76.525,-0.2211638453987974
12:15h / 2023-07-06,76.59299999999999,-0.1323039956765082
12:18h / 2023-07-06,76.6,-0.12316477929902314
12:36h / 2023-07-06,76.3895,-0.39796895684470757
20:42h / 2023-07-06,72.203,-5.878434204031812
19:58h / 2023-07-07,73.0145,-4.754519685244507
20:01h / 2023-07-07,73.02,-4.746986934900399
16:54h / 2023-07-08,73.932,-3.498014050759057
18:39h / 2023-07-16,79.32,3.7897639073646188
12:56h / 2023-09-16,59.415,-21.304789799140664
